epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,431.567,1.21519,8.69606,0.71014,1.02998,0.02273,12.5613,0.8966,0.90944,0.94638,0.74227,0.71413,0.44501,0.44132,0.17163,0.93251,5.11308,0.46343,0.45641,0.02176,0,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,771.894,1.0799,5.88611,0.60538,0.64843,0.0198,6.58188,0.93091,0.93231,0.97226,0.76089,0.78748,0.62191,0.65315,0.37501,0.93955,3.57292,0.37349,0.3905,0.02176,0,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978
3,1068.61,1.12047,5.37051,0.51248,0.66857,0.02076,5.87697,0.91366,0.89276,0.95156,0.69333,0.7994,0.56608,0.59182,0.36168,1.09382,3.8887,0.27792,0.50872,0.02666,0,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916
4,1343.92,1.15762,5.17058,0.43144,0.69479,0.02156,5.52681,0.90542,0.72464,0.83764,0.59608,0.76099,0.50108,0.52124,0.33411,1.23461,4.47689,0.2493,1.01992,0.0312,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1640.36,1.12022,4.65392,0.38528,0.63971,0.0206,4.78061,0.94795,0.94189,0.97958,0.76788,0.81556,0.68115,0.72965,0.51915,0.93231,2.85076,0.14974,0.36435,0.02181,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1940.41,1.09012,4.36035,0.35577,0.62112,0.01988,4.36084,0.95102,0.92214,0.9732,0.75708,0.81842,0.66398,0.70906,0.51782,0.94834,2.86453,0.1535,0.40696,0.02212,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2239.59,1.06415,4.14345,0.33584,0.58886,0.01948,4.07737,0.94626,0.9469,0.98052,0.78722,0.79727,0.73289,0.74314,0.54725,0.83816,2.54941,0.12311,0.33803,0.01944,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2547.25,1.03651,3.94386,0.32004,0.56624,0.01892,3.79716,0.95081,0.94342,0.9821,0.80038,0.82317,0.73087,0.75927,0.5794,0.8183,2.44051,0.11434,0.34444,0.019,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2843.91,1.0163,3.82234,0.3111,0.55009,0.01841,3.63753,0.95616,0.95654,0.9859,0.81796,0.82745,0.7529,0.77724,0.59882,0.76995,2.37486,0.10602,0.30953,0.01767,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3128.77,0.99902,3.66768,0.30092,0.54244,0.01799,3.33773,0.94958,0.95999,0.98445,0.82164,0.83562,0.7547,0.79089,0.61094,0.75565,2.27749,0.10146,0.31205,0.01712,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
